record_id,action_label,episode_count,mean_regret,p90_regret,Set_accuracy,NoMove_accuracy,SafeOracle_accuracy,headroom_capture,catastrophic_ratio
babel_val_07110_000,stand up,71,2.423386885633718,6.298389196395874,0.23943661971830985,0.056338028169014086,0.4647887323943662,0.5569914141345902,0.07042253521126761
babel_val_03893_014,kick,71,2.2642580641381946,7.465162272914313,0.43661971830985913,0.2676056338028169,0.8873239436619719,0.6734930278859819,0.056338028169014086
babel_val_02381_003,a pose,71,2.249991234180592,10.207072675228119,0.7746478873239436,0.5211267605633803,0.9577464788732394,0.6515340910428101,0.1267605633802817
babel_val_05620_000,throw,71,2.145213543415491,6.992053747540922,0.323943661971831,0.11267605633802817,0.647887323943662,0.7663553142932524,0.08450704225352113
babel_val_04587_000,jog,71,2.1014878400464654,7.002030565403402,0.5774647887323944,0.30985915492957744,0.8591549295774648,0.7823138938884121,0.056338028169014086
babel_val_11897_000,jump,71,2.0915669565230184,5.166050940752029,0.4225352112676056,0.30985915492957744,0.9154929577464789,0.7336956609799795,0.014084507042253521
babel_val_02062_010,walk,71,2.0141465302827704,4.821660729125142,0.36619718309859156,0.323943661971831,0.9154929577464789,0.6824761649540474,0.014084507042253521
babel_val_07564_004,walk,71,1.975845582597765,6.001336365938187,0.49295774647887325,0.323943661971831,0.9154929577464789,0.7258750408618707,0.014084507042253521
babel_val_06366_000,throw,71,1.9674606138540927,6.848351716995239,0.5915492957746479,0.2535211267605634,0.8169014084507042,0.7571957011469784,0.07042253521126761
babel_val_06078_002,lie,71,1.9396964108429406,8.504045049048727,0.6197183098591549,0.704225352112676,1.0,0.6064582807383575,0.11267605633802817
babel_val_02439_000,jog,71,1.8952812049285832,7.328104496002197,0.5915492957746479,0.4084507042253521,0.8450704225352113,0.7761720791504078,0.08450704225352113
babel_val_11115_014,move up/down incline,71,1.8762288635813271,5.857816033065319,0.5211267605633803,0.16901408450704225,0.7746478873239436,0.7491428252994586,0.056338028169014086
babel_val_00826_003,a pose,71,1.870459887163507,5.939569622743875,0.5915492957746479,0.4788732394366197,0.971830985915493,0.6936610477215338,0.056338028169014086
babel_val_12780_000,jog,71,1.8465018697252706,6.002293109893799,0.5915492957746479,0.3380281690140845,0.8450704225352113,0.8013777121358724,0.056338028169014086
babel_val_12470_004,jog,71,1.8386679970111683,5.593464307952672,0.4647887323943662,0.2676056338028169,0.8309859154929577,0.7521906483083769,0.014084507042253521
babel_val_03480_008,jump,71,1.7808774518108665,7.8362229615449905,0.676056338028169,0.39436619718309857,0.8450704225352113,0.7273361599007319,0.07042253521126761
babel_val_05947_007,walk,71,1.750960746111777,6.267321237377473,0.5211267605633803,0.29577464788732394,0.8732394366197183,0.7371610213451741,0.04225352112676056
babel_val_12609_014,walk,71,1.7112160789465505,4.866333389654756,0.4084507042253521,0.29577464788732394,0.8028169014084507,0.7417648323983367,0.04225352112676056
babel_val_08835_004,cartwheel,71,1.6995394628553038,6.35005983710289,0.647887323943662,0.5352112676056338,0.9295774647887324,0.7621164579820486,0.056338028169014086
babel_val_09253_005,jog,71,1.669126535565123,6.950260162353516,0.7746478873239436,0.323943661971831,0.9436619718309859,0.8319699810595339,0.09859154929577464
babel_val_04235_018,throw,71,1.6611430521411485,7.001707039773464,0.6056338028169014,0.352112676056338,0.8873239436619719,0.7397290338232233,0.056338028169014086
babel_val_04822_000,throw,71,1.6403341361160035,6.979149580001831,0.5492957746478874,0.2676056338028169,0.7323943661971831,0.8103657225708221,0.056338028169014086
babel_val_02769_003,stand up,71,1.6347827985347219,6.057760134339333,0.5211267605633803,0.5352112676056338,0.9014084507042254,0.6555968998665174,0.014084507042253521
babel_val_05925_011,sit,71,1.575772211469036,6.52323453547433,0.7323943661971831,0.6338028169014085,0.9577464788732394,0.7759679703940858,0.08450704225352113
babel_val_07472_000,jump,71,1.5570543187450696,4.76418475038372,0.6197183098591549,0.39436619718309857,0.9014084507042254,0.8400748545614387,0.028169014084507043
babel_val_08684_000,jog,71,1.5347150558689264,7.310781362102716,0.7464788732394366,0.49295774647887325,0.971830985915493,0.8125481321366215,0.056338028169014086
babel_val_08190_001,stand up,71,1.4709798623741637,5.182010173808976,0.6338028169014085,0.4225352112676056,0.9014084507042254,0.6968043650300096,0.04225352112676056
babel_val_06203_017,cartwheel,71,1.4667609883336816,5.197012188611552,0.6338028169014085,0.4788732394366197,0.9436619718309859,0.6965345050772558,0.028169014084507043
babel_val_05938_000,kick,71,1.4640137029893057,4.3401340249074565,0.6619718309859155,0.4225352112676056,0.9014084507042254,0.7894470857847701,0.056338028169014086
babel_val_10207_004,jump,71,1.4389759189988627,4.598506301641464,0.6197183098591549,0.5492957746478874,0.9436619718309859,0.830809353449553,0.014084507042253521
babel_val_11439_006,stand up,71,1.433685708247855,6.149972370127216,0.704225352112676,0.6197183098591549,0.9859154929577465,0.685093354398585,0.028169014084507043
babel_val_10270_000,t pose,71,1.4286427804011006,6.604194277606439,0.7746478873239436,0.6901408450704225,1.0,0.6768833547107457,0.056338028169014086
babel_val_06540_000,move up/down incline,71,1.4091423467275825,3.7317838254384696,0.5633802816901409,0.28169014084507044,0.8873239436619719,0.7902208329130795,0.04225352112676056
babel_val_00273_000,kick,71,1.3914469045208329,5.420177936553955,0.6619718309859155,0.352112676056338,0.8732394366197183,0.7542385873275679,0.028169014084507043
babel_val_03474_001,a pose,71,1.3439694915904075,5.136519074647367,0.7746478873239436,0.5633802816901409,0.9577464788732394,0.8719673526427907,0.07042253521126761
babel_val_12303_000,jog,71,1.3225899953752713,7.287044393335236,0.7887323943661971,0.4788732394366197,0.971830985915493,0.8494941884213679,0.056338028169014086
babel_val_05997_002,crawl,71,1.32110238413002,5.104095582246373,0.647887323943662,0.4225352112676056,0.8732394366197183,0.7052732289873992,0.028169014084507043
babel_val_09031_000,kick,71,1.2963033545716494,5.420177936553955,0.6619718309859155,0.28169014084507044,0.8732394366197183,0.8141435050179439,0.014084507042253521
babel_val_10997_000,kick,71,1.2796841291767098,5.6570537611842155,0.6901408450704225,0.28169014084507044,0.8732394366197183,0.8265253259410814,0.028169014084507043
babel_val_09492_005,jog,71,1.2738005478174055,4.903443867282476,0.6619718309859155,0.5492957746478874,0.8873239436619719,0.8176494306013657,0.028169014084507043
babel_val_10675_004,move up/down incline,71,1.262984322085583,3.8189575106371194,0.5915492957746479,0.29577464788732394,0.8309859154929577,0.7831354059600962,0.014084507042253521
babel_val_03823_000,sit,71,1.237829927317544,4.290193220615038,0.6338028169014085,0.5774647887323944,0.971830985915493,0.5298485323637893,0.014084507042253521
babel_val_08063_008,walk,71,1.2331673654921167,3.611983433365822,0.49295774647887325,0.22535211267605634,0.8591549295774648,0.8450150018176927,0.0
babel_val_12992_011,jump,71,1.2089478412441763,5.144930884242058,0.7323943661971831,0.4788732394366197,0.9436619718309859,0.7724818904138278,0.028169014084507043
babel_val_02969_013,walk,71,1.2032517528889617,3.7851514499634504,0.647887323943662,0.352112676056338,0.9154929577464789,0.9181808284287029,0.04225352112676056
